"Label"	"Area"	"Mean"	"StdDev"	"Mode"	"Min"	"Max"	"X"	"Y"	"XM"	"YM"	"Perim."	"BX"	"BY"	"Width"	"Height"	"Major"	"Minor"	"Angle"	"Circ."	"Feret"	"IntDen"	"Median"	"Skew"	"Kurt"	"X.Area"	"RawIntDen"	"Ch"	"FeretX"	"FeretY"	"FeretAngle"	"MinFeret"	"AR"	"Round"	"Solidity"	"Counter"	"Count"	"File_ID"	"Marker_ID"	"Marker_Name"	"Channel"	"Marker_Name_x_Channel"	"X_Pixel"	"Y_Pixel"	"X_Pixel_Centered"	"Y_Pixel_Centered"	"X_Scaled"	"Y_Scaled"	"CC_X"	"CC_Y"	"DE_R_X"	"DE_R_Y"	"LE_R_X"	"LE_R_Y"	"VE_R_X"	"VE_R_Y"	"VE_L_X"	"VE_L_Y"	"LE_L_X"	"LE_L_Y"	"DE_L_X"	"DE_L_Y"	"Total_Width_Pixels"	"Total_Height_Pixels"	"Resolution_Pixels_per_Unit"	"Resolution_Unit"	"CC_X_Pixel"	"CC_Y_Pixel"	"DE_R_X_Pixel"	"DE_R_Y_Pixel"	"LE_R_X_Pixel"	"LE_R_Y_Pixel"	"VE_R_X_Pixel"	"VE_R_Y_Pixel"	"VE_L_X_Pixel"	"VE_L_Y_Pixel"	"LE_L_X_Pixel"	"LE_L_Y_Pixel"	"DE_L_X_Pixel"	"DE_L_Y_Pixel"	"CC_X_Pixel_Centered"	"DE_R_X_Pixel_Centered"	"LE_R_X_Pixel_Centered"	"VE_R_X_Pixel_Centered"	"VE_L_X_Pixel_Centered"	"LE_L_X_Pixel_Centered"	"DE_L_X_Pixel_Centered"	"CC_Y_Pixel_Centered"	"DE_R_Y_Pixel_Centered"	"LE_R_Y_Pixel_Centered"	"VE_R_Y_Pixel_Centered"	"VE_L_Y_Pixel_Centered"	"LE_L_Y_Pixel_Centered"	"DE_L_Y_Pixel_Centered"	"CC_X_Scaled"	"DE_R_X_Scaled"	"LE_R_X_Scaled"	"VE_R_X_Scaled"	"VE_L_X_Scaled"	"LE_L_X_Scaled"	"DE_L_X_Scaled"	"CC_Y_Scaled"	"DE_R_Y_Scaled"	"LE_R_Y_Scaled"	"VE_R_Y_Scaled"	"VE_L_Y_Scaled"	"LE_L_Y_Scaled"	"DE_L_Y_Scaled"	"Date"	"Subject_ID"	"Group"	"Filename_Variable_004"	"Filename_Variable_005"	"Filename_Variable_006"	"Filename_Variable_007"	"Nb_Marker_Types"	"Marker_001"	"Motoneurons_MNs"	"Marker_002"	"Dorsalhorn_INs"	"Marker_003"	"Titi"	"Marker_004"	"Ventral_INs"	"Marker_005"	"Toutou"
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	128	0	128	128	128	787.333313	823.333313	787.5	823.5	0	787	824	1	1	1.128379167	1.128379167	0	0	0	128	128	NA	NA	100	128	1	787	675	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	787.333313	823.333313	35.833313	75.833313	0.292516840816326	0.785837440414508	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	253	0	253	253	253	789	824.666687	789.5	824.5	0	789	825	1	1	1.128379167	1.128379167	0	0	0	253	253	NA	NA	100	253	1	789	674	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	789	824.666687	37.5	77.166687	0.306122448979592	0.799654787564767	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	195	0	195	195	195	790.333313	825.666687	790.5	825.5	0	790	826	1	1	1.128379167	1.128379167	0	0	0	195	195	NA	NA	100	195	1	790	673	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	790.333313	825.666687	38.833313	78.166687	0.317006636734694	0.810017481865285	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	95	0	95	95	95	793.333313	827	793.5	826.5	0	793	827	1	1	1.128379167	1.128379167	0	0	0	95	95	NA	NA	100	95	1	793	672	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	793.333313	827	41.833313	79.5	0.341496432653061	0.823834196891192	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	169	0	169	169	169	796	828	796.5	827.5	0	796	828	1	1	1.128379167	1.128379167	0	0	0	169	169	NA	NA	100	169	1	796	671	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	796	828	44.5	80.5	0.363265306122449	0.83419689119171	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	91	0	91	91	91	797.333313	828.666687	797.5	828.5	0	797	829	1	1	1.128379167	1.128379167	0	0	0	91	91	NA	NA	100	91	1	797	670	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	797.333313	828.666687	45.833313	81.166687	0.374149493877551	0.84110556476684	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	47	0	47	47	47	798.666687	828.666687	798.5	828.5	0	798	829	1	1	1.128379167	1.128379167	0	0	0	47	47	NA	NA	100	47	1	798	670	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	798.666687	828.666687	47.166687	81.166687	0.385034179591837	0.84110556476684	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	59	0	59	59	59	801.333313	828.666687	801.5	828.5	0	801	829	1	1	1.128379167	1.128379167	0	0	0	59	59	NA	NA	100	59	1	801	670	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	801.333313	828.666687	49.833313	81.166687	0.406802555102041	0.84110556476684	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	160	0	160	160	160	806	828.666687	806.5	828.5	0	806	829	1	1	1.128379167	1.128379167	0	0	0	160	160	NA	NA	100	160	1	806	670	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	806	828.666687	54.5	81.166687	0.444897959183673	0.84110556476684	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	93	0	93	93	93	807.666687	828.666687	807.5	828.5	0	807	829	1	1	1.128379167	1.128379167	0	0	0	93	93	NA	NA	100	93	1	807	670	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	807.666687	828.666687	56.166687	81.166687	0.458503567346939	0.84110556476684	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue"	0	83	0	83	83	83	810.333313	828	810.5	827.5	0	810	828	1	1	1.128379167	1.128379167	0	0	0	83	83	NA	NA	100	83	1	810	671	0	0	0	0	NA	1	197	"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001"	"001"	"1"	"1"	"1"	810.333313	828	58.833313	80.5	0.480271942857143	0.83419689119171	"751.5"	"747.5"	"799"	"844"	"874"	"737"	"789.5"	"656.5"	"707"	"661"	"620.5"	"741"	"701.5"	"841"	"1500"	"1500"	"1"	"pixels"	751.5	747.5	799	844	874	737	789.5	656.5	707	661	620.5	741	701.5	841	0	47.5	122.5	38	-44.5	-131	-50	0	96.5	0	-91	-86.5	0	93.5	0	0.387755102040816	1	0.310204081632653	-0.33969465648855	-1	-0.381679389312977	0	1	0	-1	-1	0	1	"2016-12-16"	"Animal-001"	"Control"	"Male"	"Lumbar"	"Slide-0002"	"Section001"	2	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
